,population,newborn,child_mortality,poverty_percent,poverty_children,poverty_pensioners,poverty_labouring,per_capita_cash_income,real_income,formal_wage_paid,real_pay,disabled_by_age,all_disease,mental_disorder,food_disorder,disease_alco,disease_drug,gross_product,regional_prod,retail_turnover,welfare_expense,housing_constraints,housing_area_per_person,no_improvement_funds,improvement_without_complaints,group_crimes,domestic_violence,foreign_crimes,registered_crimes,crimes_severe,crimes_heavy,crimes_theft,crimes_drugs,ophans,poor_pensioner,unemployment,min_living_cost
Псковская область,613356.0,5034.0,28.0,16.2,29.6,9.3,61.0,26436.0,99.8,31496.0,103.9,17411.0,361176.3,2583.1000000000004,2855.0,85.9,4.6,325659.6,285448003.4,234834.0,24.7,6.0,15.0,0.0,8.3,715.0,312.0,76.0,1756.0,203.0,256.0,815.0,205.0,0.15,23.2,3.9,11431.75
Республика Адыгея,468340.0,4553.0,22.0,12.5,44.6,5.4,50.1,30293.0,101.4,32161.0,102.9,13369.0,298129.4,1269.5,2682.4,52.5,5.1,309184.1,122026289.0,299840.0,20.2,5.4,19.6,0.0,13.200000000000001,203.0,127.0,54.0,766.0,29.0,150.0,451.0,73.0,0.03,12.8,7.1,9722.0
Республика Алтай,221559.0,2883.0,21.0,23.8,44.5,2.9,52.6,21677.0,104.5,36269.0,105.5,7534.0,348022.5,575.4,4620.0,71.1,9.2,283451.4,17423328.6,164472.0,19.8,4.2,14.4,1.4,23.099999999999998,78.0,318.0,10.0,1416.0,26.0,233.0,578.0,89.0,0.39,22.0,9.7,10655.75
Республика Башкортостан,4001678.0,39332.99,215.0,11.6,40.1,4.5,55.4,30249.0,95.1,38738.0,102.5,86507.0,374216.9,2690.7999999999997,5734.7,56.4,6.4,425161.0,3088668108.22,253472.0,22.4,4.5,17.4,5.9,9.0,858.0,2205.0,181.0,9247.0,304.0,1325.0,4402.0,650.0,0.08,29.9,3.4,9799.75
Республика Бурятия,982629.0,12062.99,52.0,19.9,41.7,3.7,54.6,26092.0,98.8,41800.0,102.2,31673.0,239874.0,876.2,5183.9,48.9,3.4,307558.8,352686208.04,223010.0,25.5,5.0,17.2,8.0,17.2,271.0,898.0,19.0,3928.0,161.0,827.0,1516.0,401.0,0.13,19.3,7.4,12282.5
Республика Дагестан,3153857.0,44329.969999999994,351.0,14.8,38.3,5.0,56.7,27661.0,97.2,31342.0,111.6,219039.0,303420.1,1218.5,10282.3,13.6,9.1,239640.7,135184335.6,209177.0,28.3,2.8,22.5,7.5,9.4,459.0,297.0,69.0,2520.0,129.0,483.0,778.0,510.0,0.01,8.8,12.1,10333.0
Республика Ингушетия,524058.0,8480.0,49.0,30.0,38.1,10.6,51.3,16877.0,99.7,29648.0,104.3,44420.0,250152.4,107.0,5246.0,0.2,2.7,142199.7,8555010.8,57605.0,32.5,0.0,27.8,0.0,4.199999999999999,23.0,15.0,27.0,249.0,3.0,45.0,91.0,31.0,0.0,0.0,30.0,10368.5
Республика Калмыкия,267756.0,2650.0,7.0,22.7,33.8,0.3,65.9,19811.0,102.4,32013.0,107.6,10046.0,390447.6,1676.9,5305.8,58.1,0.7,344933.1,11338618.9,97566.0,24.3,2.7,20.2,0.0,1.4000000000000004,50.0,95.0,13.0,675.0,34.0,115.0,209.0,79.0,0.03,13.6,8.1,10399.5
Республика Карелия,603067.0,5123.99,19.0,15.1,39.0,3.0,58.1,32583.0,100.8,46501.0,104.1,16578.0,546143.1,2131.9,6759.700000000001,78.1,5.1,522245.3,490804007.26,252304.0,24.2,6.1,17.1,18.5,16.3,284.0,478.0,38.0,2899.0,78.0,388.0,1977.0,78.0,0.16,13.9,5.8,14166.25
Республика Коми,803477.0,7249.0,39.0,15.3,40.1,6.6,53.3,36677.0,98.0,57156.0,102.1,23687.0,528785.2000000001,3387.0,6237.3,107.5,10.7,749219.3,1090433269.26,221863.0,22.7,5.3,15.5,23.700000000000003,18.1,307.0,753.0,77.0,3349.0,120.0,580.0,1725.0,161.0,0.39,23.7,6.6,14337.25
